Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 17.78      2.83     2.83 214928253     0.00     0.00  EvalCompare
  5.72      3.74     0.91 16378098     0.00     0.00  splay_tree
  5.03      4.54     0.80 414913658     0.00     0.00  KBOVarGreater
  4.46      5.25     0.71 19013044     0.00     0.00  mfyvwblhs
  3.33      5.78     0.53 20142780     0.00     0.00  mfyvwbrhs
  2.83      6.23     0.45 66621381     0.00     0.00  PDArrayAddVarDistrib
  2.64      6.65     0.42 156390115     0.00     0.00  ClauseCPosGetSubterm
  2.45      7.04     0.39 47542571     0.00     0.00  FindRewritableClausesIndexed
  1.76      7.32     0.28  4211357     0.00     0.00  TermDeleteRWLink
  1.63      7.58     0.26 50623133     0.00     0.00  TermCopyNormalizeVars
  1.57      7.83     0.25 23353066     0.00     0.00  kbo6reset
  1.51      8.07     0.24 43942844     0.00     0.00  inc_vb
  1.38      8.29     0.22 10369612     0.00     0.00  SubstNormTerm
  1.35      8.51     0.22 15671276     0.00     0.00  TermFsumWeight
  1.32      8.72     0.21 32770915     0.00     0.00  TermTopCompare
  1.32      8.93     0.21 67292905     0.00     0.00  TBGetFreqConstTerm
  1.19      9.12     0.19 24842030     0.00     0.00  dec_vb
  1.16      9.30     0.19 17409199     0.00     0.00  EqnSubsumeQOrderCompare
  1.13      9.48     0.18 65421898     0.00     0.00  TermLRTraverseNext
  1.07      9.65     0.17 23134314     0.00     0.00  TOCompare
  0.94      9.80     0.15    15474     0.00     0.00  clauseset_find_subsumed_clauses_indexed
  0.88      9.94     0.14 18204043     0.00     0.00  IntMapGetRef
  0.88     10.08     0.14 17488923     0.00     0.00  IntMapIterAlloc
  0.88     10.22     0.14  7835638     0.00     0.00  TermSymTypeWeight
  0.82     10.35     0.13 23353066     0.00     0.00  kbolincmp
  0.82     10.48     0.13  5727436     0.00     0.00  TBInsertRepl
  0.82     10.61     0.13   102161     0.00     0.00  clause_set_subsumes_clause_indexed
  0.75     10.73     0.12 55605747     0.00     0.00  DDArraySelectPart
  0.75     10.85     0.12  1331767     0.00     0.00  EqnListIsTrivial
  0.72     10.97     0.12 51079469     0.00     0.00  TermExtWeight
  0.69     11.08     0.11 28387796     0.00     0.00  TermTreeTraverseNext
  0.63     11.18     0.10  5497257     0.00     0.00  IntMapGetVal
  0.60     11.27     0.10 15618618     0.00     0.00  splay_term_tree
  0.57     11.36     0.09 28425673     0.00     0.00  FPIndexPrintDot
  0.57     11.45     0.09 15671276     0.00     0.00  PDTreeMatchPrefix
  0.57     11.54     0.09 15649918     0.00     0.00  TermTreeInsert
  0.57     11.63     0.09  2331410     0.00     0.00  EqnListCollectSubterms
  0.57     11.72     0.09  1126109     0.00     0.00  EqnListMaximalLiterals
  0.50     11.80     0.08 17488923     0.00     0.00  IntMapIterFree
  0.50     11.88     0.08 10353187     0.00     0.00  RegMemCleanUp
  0.50     11.96     0.08  4779015     0.00     0.00  SizeMallocReal.lto_priv.418
  0.50     12.04     0.08  3842882     0.00     0.00  clause_subsumes_clause
  0.50     12.12     0.08  3494255     0.00     0.00  ClauseERNormalizeVar
  0.44     12.19     0.07 23134314     0.00     0.00  KBO6Compare
  0.44     12.26     0.07 18905074     0.00     0.00  pdt_select_alt_ref
  0.44     12.33     0.07  8446476     0.00     0.00  SubstComputeMatch
  0.44     12.40     0.07  1331474     0.00     0.00  EqnListRemoveDuplicates
  0.41     12.47     0.07 11532346     0.00     0.00  EqnOrient
  0.38     12.53     0.06 21301911     0.00     0.00  TableauControlGetCores
  0.38     12.59     0.06  4505346     0.00     0.00  compare_pos_eqns.lto_priv.649
  0.38     12.65     0.06  1114112     0.00     0.00  TermTreeDeleteRWLinks
  0.38     12.71     0.06   714949     0.00     0.00  UnpackClausePosInto
  0.35     12.76     0.06 37199064     0.00     0.00  EqnSwapSidesSimple
  0.35     12.82     0.06 17131219     0.00     0.00  EvalsFree
  0.31     12.87     0.05 15649918     0.00     0.00  tb_termtop_insert
  0.31     12.92     0.05  7835638     0.00     0.00  EqnFunWeight
  0.31     12.97     0.05  5147293     0.00     0.00  PDTreeSearchInit
  0.31     13.02     0.05  4050037     0.00     0.00  find_spec_literal
  0.31     13.07     0.05   787237     0.00     0.00  eqn_list_rec_subsume
  0.28     13.11     0.05 30506900     0.00     0.00  SigSymbolUnifiesWithVar
  0.28     13.16     0.05  7835760     0.00     0.00  LiteralWeight
  0.25     13.20     0.04 33990695     0.00     0.00  ESTermTop
  0.25     13.24     0.04 16711572     0.00     0.00  FVIndexPrint
  0.25     13.28     0.04  9805036     0.00     0.00  term_li_normalform
  0.25     13.32     0.04  8509957     0.00     0.00  SigIsFixedType
  0.25     13.36     0.04  5554272     0.00     0.00  ClauseAddEvaluation
  0.25     13.40     0.04  4301956     0.00     0.00  eqn_li_normalform
  0.25     13.44     0.04  3530903     0.00     0.00  SigDeclareIsPredicate
  0.25     13.48     0.04  1304924     0.00     0.00  ClauseStandardWeight
  0.25     13.52     0.04  1082255     0.00     0.00  TBInsertNoProps
  0.22     13.55     0.04 17037911     0.00     0.00  TermTopFree
  0.22     13.59     0.04  1893113     0.00     0.00  clause_set_extract_entry
  0.19     13.62     0.03 25173404     0.00     0.00  EqnEqual
  0.19     13.65     0.03 10493160     0.00     0.00  PQueueGetLast
  0.19     13.68     0.03 10492600     0.00     0.00  term_follow_top_RW_chain
  0.19     13.71     0.03  9230806     0.00     0.00  SubtermIndexDeleteClause
  0.19     13.74     0.03  7835760     0.00     0.00  EqnCorrectedWeight
  0.19     13.77     0.03  7835638     0.00     0.00  EqnTermExtWeight
  0.19     13.80     0.03  7835638     0.00     0.00  LiteralFunWeight
  0.19     13.83     0.03  7835638     0.00     0.00  LiteralTermExtWeight
  0.19     13.86     0.03  7360542     0.00     0.00  tfo_literal_compare
  0.19     13.89     0.03  6443446     0.00     0.00  TypesCmp
  0.19     13.92     0.03  5661384     0.00     0.00  OrderParmsPrint
  0.19     13.95     0.03  4759829     0.00     0.00  EqnAlloc
  0.19     13.98     0.03  3614038     0.00     0.00  pdtree_forward
  0.19     14.01     0.03  3319215     0.00     0.00  maxlcomplexavoidpred_weight
  0.19     14.04     0.03  3221691     0.00     0.00  TypeBankInsertTypeShared
  0.19     14.07     0.03  2823347     0.00     0.00  lit_eval_compare
  0.19     14.10     0.03  2467530     0.00     0.00  PStackDiscardTop
  0.19     14.13     0.03  2311830     0.00     0.00  gather_feature_vec
  0.19     14.16     0.03  1893449     0.00     0.00  ClauseSetInsert
  0.19     14.19     0.03  1309703     0.00     0.00  clause_tree_find_subsuming_clause
  0.19     14.22     0.03  1234327     0.00     0.00  ClauseWeight
  0.19     14.25     0.03  1234270     0.00     0.00  ClauseTermExtWeight
  0.19     14.28     0.03  1191106     0.00     0.00  TermAddSymbolFeatures
  0.19     14.31     0.03   638639     0.00     0.00  ClauseAlloc
  0.19     14.34     0.03   617192     0.00     0.00  HCBClauseEvaluate
  0.19     14.37     0.03   566457     0.00     0.00  PTreeTraverseInit
  0.19     14.40     0.03   352589     0.00     0.00  splay_ptree
  0.19     14.43     0.03                             EvalGreater
  0.16     14.45     0.03 20821061     0.00     0.00  TermLRTraverseInit
  0.16     14.48     0.03   560937     0.00     0.00  occur_check
  0.13     14.50     0.02 21222729     0.00     0.00  TBTermPosReplace
  0.13     14.52     0.02 20205446     0.00     0.00  SubstBacktrackSingle
  0.13     14.54     0.02 15671276     0.00     0.00  prfx_term_weight
  0.13     14.56     0.02 12933490     0.00     0.00  SubstBacktrack
  0.13     14.58     0.02 11135853     0.00     0.00  EqnTermsAreDistinct
  0.13     14.60     0.02 11089677     0.00     0.00  EvalTreeExtractEntry
  0.13     14.62     0.02  9390973     0.00     0.00  LiteralCompare
  0.13     14.64     0.02  6999996     0.00     0.00  pdtree_backtrack
  0.13     14.66     0.02  5554272     0.00     0.00  EvalTreeInsert
  0.13     14.68     0.02  4532892     0.00     0.00  FindSignedTopSimplifyingUnit
  0.13     14.70     0.02  3530909     0.00     0.00  SigIsPolymorphic
  0.13     14.72     0.02  3416466     0.00     0.00  ClausePosNextEqResLiteral
  0.13     14.74     0.02  3230244     0.00     0.00  TBInsertOpt
  0.13     14.76     0.02  3221688     0.00     0.00  SigDeclareType
  0.13     14.78     0.02  3221657     0.00     0.00  TypeChangeReturnType
  0.13     14.80     0.02  3221657     0.00     0.00  TypeCopy
  0.13     14.82     0.02  3136142     0.00     0.00  check_subsumption_possibility
  0.13     14.84     0.02  2863718     0.00     0.00  EqnCopyRepl
  0.13     14.86     0.02  2789436     0.00     0.00  VarBankGetFreshVar
  0.13     14.88     0.02  2676452     0.00     0.00  ClauseIsTautology
  0.13     14.90     0.02  1819471     0.00     0.00  EqnListOrient
  0.13     14.92     0.02  1234270     0.00     0.00  ClauseFunWeight
  0.13     14.94     0.02  1234270     0.00     0.00  ConjectureTermPrefixWeightCompute
  0.13     14.96     0.02  1226750     0.00     0.00  PDArrayElementIncInt
  0.13     14.98     0.02   902483     0.00     0.00  ClauseTPosTreePrint
  0.13     15.00     0.02   770613     0.00     0.00  PStackReset
  0.13     15.02     0.02   755195     0.00     0.00  EqnListFree
  0.13     15.04     0.02   698572     0.00     0.00  ClauseFree
  0.13     15.06     0.02   657049     0.00     0.00  NumTreeTraverseInit
  0.13     15.08     0.02   641421     0.00     0.00  EqnListCopyRepl
  0.13     15.10     0.02   362477     0.00     0.00  EqnListEqnIsMaximal
  0.13     15.12     0.02   272873     0.00     0.00  compute_into_pm_pos_clause
  0.13     15.14     0.02   139035     0.00     0.00  FVCollectFreqVectorCompute
  0.13     15.16     0.02   138978     0.00     0.00  OptimizedVarFreqVectorCompute
  0.13     15.18     0.02    65396     0.00     0.00  EvalTreeFindSmallest
  0.13     15.20     0.02    15077     0.00     0.00  insert_new_clauses
  0.09     15.21     0.02  5184806     0.00     0.00  SubstNormEqn
  0.09     15.23     0.02  1893113     0.00     0.00  ClauseSetExtractEntry
  0.09     15.24     0.02                             PartiallyMatchVar
  0.06     15.25     0.01 15649918     0.00     0.00  TermCellStoreInsert
  0.06     15.26     0.01 12810711     0.00     0.00  EqnIsTrue
  0.06     15.27     0.01 10648481     0.00     0.00  pdtree_verify_node_constr
  0.06     15.28     0.01  7899706     0.00     0.00  GetReturnSort
  0.06     15.29     0.01  5216187     0.00     0.00  PDTreeFindNextIndexedLeaf
  0.06     15.30     0.01  4759493     0.00     0.00  EqnFree
  0.06     15.31     0.01  4249576     0.00     0.00  PQueueIncIndex
  0.06     15.32     0.01  4182018     0.00     0.00  PListDelete
  0.06     15.33     0.01  3917819     0.00     0.00  EqnSymTypeWeight
  0.06     15.34     0.01  3221691     0.00     0.00  force_arg_sharing
  0.06     15.35     0.01  3221672     0.00     0.00  TypeTopFree
  0.06     15.36     0.01  3221658     0.00     0.00  SigDeclareFinalType
  0.06     15.37     0.01  3121325     0.00     0.00  HCBClauseSetDeleteBadClauses
  0.06     15.38     0.01  2609727     0.00     0.00  FindSimplifyingUnit
  0.06     15.39     0.01  2546057     0.00     0.00  PDTreePrint
  0.06     15.40     0.01  1789825     0.00     0.00  DerivationPrintNoFrame
  0.06     15.41     0.01  1762426     0.00     0.00  EqnListSetProp
  0.06     15.42     0.01  1745276     0.00     0.00  PTreeTraverseNext
  0.06     15.43     0.01  1481126     0.00     0.00  fpindex_alternative
  0.06     15.44     0.01  1331474     0.00     0.00  EqnListRemoveResolved
  0.06     15.45     0.01  1234270     0.00     0.00  GenericFunWeightCompute
  0.06     15.46     0.01  1234270     0.00     0.00  StaggeredWeightCompute
  0.06     15.47     0.01  1203289     0.00     0.00  ComputeAllEqualityFactors
  0.06     15.48     0.01  1199625     0.00     0.00  fpindex_alternative_ref
  0.06     15.49     0.01   964562     0.00     0.00  ClausePosGetSide
  0.06     15.50     0.01   714949     0.00     0.00  UnpackTermPos
  0.06     15.51     0.01   693306     0.00     0.00  ForwardModifyClause
  0.06     15.52     0.01   687564     0.00     0.00  term_subterm_rewrite
  0.06     15.53     0.01   658222     0.00     0.00  DocClauseQuote
  0.06     15.54     0.01   636317     0.00     0.00  EqnListAppend
  0.06     15.55     0.01   631934     0.00     0.00  DoLiteralSelection
  0.06     15.56     0.01   630959     0.00     0.00  GCCollect
  0.06     15.57     0.01   617135     0.00     0.00  ClauseSymTypeWeight
  0.06     15.58     0.01   617135     0.00     0.00  SymTypeWeightCompute
